"policyid","customerid","startdate","enddate"
184,2,"2013-04-07","2026-07-22"
90,2,"2019-06-06","2027-12-22"
82,6,"2018-11-04","2030-08-17"
158,6,"2015-05-18","2027-06-12"
4,6,"2018-10-15","2028-02-24"
158,6,"2015-05-18","2027-06-12"
4,6,"2018-10-15","2028-02-24"
82,6,"2018-11-04","2030-08-17"
12,9,"2014-06-09","2026-11-14"
53,9,"2014-08-15","2030-10-28"
114,9,"2015-12-15","2025-07-27"
53,9,"2014-08-15","2030-10-28"
114,9,"2015-12-15","2025-07-27"
12,9,"2014-06-09","2026-11-14"
173,11,"2017-06-21","2028-04-22"
21,11,"2010-04-16","2030-04-22"
165,17,"2016-07-08","2025-03-21"
199,17,"2022-05-28","2029-12-05"
100,19,"2017-02-01","2027-01-20"
95,19,"2016-10-12","2027-12-05"
111,25,"2014-07-22","2029-11-06"
182,25,"2020-10-26","2030-12-15"
22,29,"2017-11-08","2030-05-05"
195,29,"2020-10-27","2030-05-03"
46,32,"2018-08-20","2029-02-13"
38,32,"2022-05-16","2026-05-13"
88,32,"2019-10-04","2026-06-19"
46,32,"2018-08-20","2029-02-13"
88,32,"2019-10-04","2026-06-19"
38,32,"2022-05-16","2026-05-13"
11,35,"2011-04-15","2025-04-13"
56,35,"2017-03-09","2026-02-16"
11,35,"2011-04-15","2025-04-13"
56,35,"2017-03-09","2026-02-16"
152,35,"2019-10-28","2028-07-11"
152,35,"2019-10-28","2028-07-11"
194,39,"2011-12-28","2028-05-22"
198,39,"2012-06-26","2026-04-01"
179,41,"2019-02-12","2026-10-03"
132,41,"2014-04-21","2025-09-26"
29,42,"2021-05-18","2027-09-14"
103,42,"2010-10-12","2028-06-08"
73,42,"2012-03-25","2028-09-13"
103,42,"2010-10-12","2028-06-08"
29,42,"2021-05-18","2027-09-14"
73,42,"2012-03-25","2028-09-13"
144,54,"2019-08-20","2030-09-09"
105,54,"2019-07-10","2026-09-01"
28,55,"2016-09-10","2026-06-25"
17,55,"2014-08-14","2026-08-28"
17,55,"2014-08-14","2026-08-28"
28,55,"2016-09-10","2026-06-25"
168,55,"2018-04-22","2029-06-10"
168,55,"2018-04-22","2029-06-10"
150,58,"2011-05-06","2029-06-26"
